modzcta,modzcta_name,lat,lon,people_positive_7day,hospitalization_count_28day,death_count_28day
11364,Bayside (South)/Oakland Gardens,40.745279,-73.76057800000001,27,6,5.0
11365,Auburndale/Fresh Meadows/Pomonok/Utopia,40.739775,-73.79480600000001,43,7,
11366,Fresh Meadows/Hillcrest,40.728136,-73.784981,9,1,0.0
11367,Kew Gardens Hills/Pomonok,40.730383,-73.826297,40,4,
11368,Corona/North Corona,40.749594,-73.852604,85,16,0.0
11369,Airport/East Elmhurst,40.768944,-73.872812,26,10,0.0
11370,Jackson Heights/Rikers Island,40.763465999999994,-73.891021,25,5,
11372,Jackson Heights,40.75169,-73.883634,68,15,
11373,Elmhurst,40.738823,-73.8785,107,18,
11374,Rego Park,40.726440999999994,-73.861497,55,5,
11375,Forest Hills,40.720931,-73.846184,71,11,5.0
11377,Woodside,40.744823,-73.90516,94,17,
11378,Maspeth,40.724768,-73.909399,27,6,
11379,Middle Village,40.716758,-73.879597,54,4,
11385,Glendale/Ridgewood,40.701058,-73.890159,95,33,
11411,Cambria Heights,40.694202000000004,-73.735998,21,3,0.0
11412,St. Albans,40.698095,-73.758984,39,6,
11413,Laurelton/Rosedale,40.669738,-73.750842,44,5,0.0
11414,Hamilton Beach/Howard Beach/Lindenwood,40.658266,-73.84490500000001,18,6,
11415,Kew Gardens,40.708323,-73.828212,21,4,0.0
11416,Ozone Park,40.684652,-73.849549,23,5,0.0
11417,Ozone Park,40.676457,-73.844522,33,12,
11418,Richmond Hill,40.700236,-73.836062,52,12,
11419,Richmond Hill/South Ozone Park,40.688676,-73.822901,50,17,
11420,South Ozone Park,40.673518,-73.817812,43,10,
11421,Woodhaven,40.69405,-73.85866999999999,33,14,
11422,Rosedale,40.660819000000004,-73.73608,35,4,
11423,Hollis/Holliswood,40.714909999999996,-73.767865,20,10,
11426,Bellerose,40.736521,-73.72238399999999,25,3,
11427,Bellerose/Hollis Hills/Holliswood,40.730915,-73.745611,23,8,
11428,Queens Village,40.721015,-73.74220600000001,11,4,0.0
11429,Queens Village,40.709771999999994,-73.738731,28,7,
11432,Hillcrest/Jamaica Estates/Jamaica Hills,40.715359,-73.793064,58,19,
11433,Jamaica,40.69823,-73.787095,31,9,
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,40.656866,-73.783386,65,21,6.0
11435,Briarwood/Jamaica,40.701291,-73.809618,52,17,
11436,South Jamaica/South Ozone Park,40.675819,-73.79661800000001,18,5,0.0
11691,Edgemere/Far Rockaway,40.60133,-73.76135699999999,47,11,
11692,Arverne/Edgemere,40.592794,-73.792203,16,5,0.0
11693,Arverne/Broad Channel,40.603699,-73.821926,15,2,
11694,Belle Harbor-Neponsit/Rockaway Park,40.577599,-73.844553,15,8,0.0
11697,Breezy Point,40.55907,-73.907199,3,2,0.0
